Source,Target,Weight,Type
Anno_The Vamp_1,Byron_Don Juan_4,19,undirected
Anno_The Vamp_1,Byron_Don Juan_15,8,undirected
Anno_The Vamp_1,Polidori_diary_2,3,undirected
Anno_The Vamp_1,Polidori_diary_3,30,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_2,60,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_3,20,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_4,10,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Don Juan_5,3,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Don Juan_11,7,undirected
Byron_Childe Harold's Pilgrimage_1,Polidori_The fallen Angel_1,10,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_1,60,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_3,10,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_4,40,undirected
Byron_Childe Harold's Pilgrimage_2,Polidori_The fallen Angel_1,30,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_1,20,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_2,10,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_4,52,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Mazzepa_Dante_Beppo_1,30,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Mazzepa_Dante_Beppo_2,28,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_1,10,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_2,40,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_3,52,undirected
Byron_Childe Harold's Pilgrimage_4,Polidori_diary_1,13,undirected
Byron_Don Juan_1,Byron_Don Juan_2,24,undirected
Byron_Don Juan_1,Byron_Don Juan_7,40,undirected
Byron_Don Juan_1,Byron_Don Juan_8,14,undirected
Byron_Don Juan_1,Byron_Don Juan_10,16,undirected
Byron_Don Juan_2,Byron_Don Juan_1,24,undirected
Byron_Don Juan_2,Byron_Don Juan_6,10,undirected
Byron_Don Juan_2,Byron_Don Juan_12,27,undirected
Byron_Don Juan_2,Byron_Mazzepa_Dante_Beppo_1,10,undirected
Byron_Don Juan_2,Polidori_diary_3,1,undirected
Byron_Don Juan_3,Byron_Don Juan_4,30,undirected
Byron_Don Juan_3,Byron_Don Juan_5,20,undirected
Byron_Don Juan_3,Byron_Don Juan_8,10,undirected
Byron_Don Juan_4,Anno_The Vamp_1,19,undirected
Byron_Don Juan_4,Byron_Don Juan_3,30,undirected
Byron_Don Juan_4,Byron_Don Juan_5,60,undirected
Byron_Don Juan_4,Byron_Don Juan_8,35,undirected
Byron_Don Juan_4,Byron_Don Juan_11,10,undirected
Byron_Don Juan_5,Byron_Childe Harold's Pilgrimage_1,3,undirected
Byron_Don Juan_5,Byron_Don Juan_3,20,undirected
Byron_Don Juan_5,Byron_Don Juan_4,60,undirected
Byron_Don Juan_5,Byron_Don Juan_7,2,undirected
Byron_Don Juan_5,Byron_Don Juan_8,20,undirected
Byron_Don Juan_5,Byron_Don Juan_9,7,undirected
Byron_Don Juan_5,Byron_Mazzepa_Dante_Beppo_2,1,undirected
