Source,Target,Weight,Type
Anno_The Vamp_1,Byron_Childe Harold's Pilgrimage_2,1,undirected
Anno_The Vamp_1,Byron_Don Juan_4,12,undirected
Anno_The Vamp_1,Byron_Don Juan_9,11,undirected
Anno_The Vamp_1,Polidori_diary_2,6,undirected
Anno_The Vamp_1,Polidori_diary_3,30,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_2,60,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_3,20,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_4,20,undirected
Byron_Childe Harold's Pilgrimage_1,Polidori_The fallen Angel_1,20,undirected
Byron_Childe Harold's Pilgrimage_2,Anno_The Vamp_1,1,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_1,60,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_3,27,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_4,39,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Mazzepa_Dante_Beppo_1,10,undirected
Byron_Childe Harold's Pilgrimage_2,Polidori_The fallen Angel_1,30,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_1,20,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_2,27,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_4,60,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Mazzepa_Dante_Beppo_1,43,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Mazzepa_Dante_Beppo_2,1,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_1,20,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_2,39,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_3,60,undirected
Byron_Childe Harold's Pilgrimage_4,Polidori_The fallen Angel_1,8,undirected
Byron_Don Juan_1,Byron_Don Juan_2,48,undirected
Byron_Don Juan_1,Byron_Don Juan_7,15,undirected
Byron_Don Juan_1,Byron_Don Juan_14,31,undirected
Byron_Don Juan_2,Byron_Don Juan_1,48,undirected
Byron_Don Juan_2,Byron_Don Juan_6,15,undirected
Byron_Don Juan_2,Byron_Don Juan_10,10,undirected
Byron_Don Juan_2,Byron_Don Juan_12,5,undirected
Byron_Don Juan_3,Byron_Don Juan_4,30,undirected
Byron_Don Juan_3,Byron_Don Juan_5,20,undirected
Byron_Don Juan_3,Byron_Don Juan_9,10,undirected
Byron_Don Juan_4,Anno_The Vamp_1,12,undirected
Byron_Don Juan_4,Byron_Don Juan_3,30,undirected
Byron_Don Juan_4,Byron_Don Juan_5,60,undirected
Byron_Don Juan_4,Byron_Don Juan_7,6,undirected
Byron_Don Juan_4,Byron_Don Juan_8,21,undirected
Byron_Don Juan_4,Byron_Don Juan_9,2,undirected
Byron_Don Juan_4,Byron_Mazzepa_Dante_Beppo_2,4,undirected
Byron_Don Juan_5,Byron_Don Juan_3,20,undirected
Byron_Don Juan_5,Byron_Don Juan_4,60,undirected
Byron_Don Juan_5,Byron_Don Juan_7,9,undirected
Byron_Don Juan_5,Byron_Don Juan_8,5,undirected
Byron_Don Juan_5,Byron_Don Juan_9,16,undirected
Byron_Don Juan_5,Byron_Mazzepa_Dante_Beppo_1,17,undirected
Byron_Don Juan_5,Byron_Mazzepa_Dante_Beppo_2,2,undirected
Byron_Don Juan_5,Polidori_The fallen Angel_1,2,undirected
Byron_Don Juan_6,Byron_Don Juan_2,15,undirected
Byron_Don Juan_6,Byron_Don Juan_7,11,undirected
Byron_Don Juan_6,Byron_Don Juan_8,14,undirected
Byron_Don Juan_6,Byron_Don Juan_9,19,undirected
Byron_Don Juan_6,Byron_Don Juan_10,2,undirected
Byron_Don Juan_6,Byron_Don Juan_11,25,undirected
Byron_Don Juan_6,Byron_Don Juan_13,18,undirected
Byron_Don Juan_6,Byron_Don Juan_15,7,undirected
Byron_Don Juan_6,Polidori_diary_3,8,undirected
Byron_Don Juan_7,Byron_Don Juan_1,15,undirected
Byron_Don Juan_7,Byron_Don Juan_4,6,undirected
Byron_Don Juan_7,Byron_Don Juan_5,9,undirected
Byron_Don Juan_7,Byron_Don Juan_6,11,undirected
Byron_Don Juan_7,Byron_Don Juan_8,60,undirected
Byron_Don Juan_7,Byron_Don Juan_10,6,undirected
Byron_Don Juan_7,Byron_Don Juan_14,39,undirected
Byron_Don Juan_8,Byron_Don Juan_4,21,undirected
Byron_Don Juan_8,Byron_Don Juan_5,5,undirected
Byron_Don Juan_8,Byron_Don Juan_6,14,undirected
Byron_Don Juan_8,Byron_Don Juan_7,60,undirected
Byron_Don Juan_8,Byron_Don Juan_9,7,undirected
Byron_Don Juan_8,Byron_Don Juan_10,3,undirected
Byron_Don Juan_8,Byron_Don Juan_14,11,undirected
Byron_Don Juan_9,Anno_The Vamp_1,11,undirected
Byron_Don Juan_9,Byron_Don Juan_3,10,undirected
Byron_Don Juan_9,Byron_Don Juan_4,2,undirected
Byron_Don Juan_9,Byron_Don Juan_5,16,undirected
Byron_Don Juan_9,Byron_Don Juan_6,19,undirected
