Source,Target,Weight,Type
Anno_The Vamp_1,Lamb_Glenarvon 2_2,3,undirected
Anno_The Vamp_1,Lewis_The Monk_9,2,undirected
Anno_The Vamp_1,Woolstencraft_The last Man_2,1,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_2,6,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_3,2,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_4,2,undirected
Byron_Childe Harold's Pilgrimage_1,Polidori_The fallen Angel_1,2,undirected
Byron_Childe Harold's Pilgrimage_1,Woolstencraft_Prospertine und Midas_1,3,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_1,6,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_3,3,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_4,4,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Mazzepa_Dante_Beppo_1,1,undirected
Byron_Childe Harold's Pilgrimage_2,Polidori_The fallen Angel_1,3,undirected
Byron_Childe Harold's Pilgrimage_2,Woolstencraft_Prospertine und Midas_1,2,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_1,2,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_2,3,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_4,6,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Mazzepa_Dante_Beppo_1,4,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_1,2,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_2,4,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_3,6,undirected
Byron_Childe Harold's Pilgrimage_4,Polidori_The fallen Angel_1,1,undirected
Byron_Don Juan_1,Byron_Don Juan_2,4,undirected
Byron_Don Juan_1,Byron_Don Juan_7,2,undirected
Byron_Don Juan_1,Byron_Don Juan_14,3,undirected
Byron_Don Juan_2,Byron_Don Juan_1,4,undirected
Byron_Don Juan_2,Byron_Don Juan_6,2,undirected
Byron_Don Juan_2,Byron_Don Juan_10,1,undirected
Byron_Don Juan_3,Byron_Don Juan_4,3,undirected
Byron_Don Juan_3,Byron_Don Juan_5,2,undirected
Byron_Don Juan_3,Byron_Don Juan_9,1,undirected
Byron_Don Juan_4,Byron_Don Juan_3,3,undirected
Byron_Don Juan_4,Byron_Don Juan_5,6,undirected
Byron_Don Juan_4,Byron_Don Juan_7,1,undirected
Byron_Don Juan_4,Byron_Don Juan_8,2,undirected
Byron_Don Juan_5,Byron_Don Juan_3,2,undirected
Byron_Don Juan_5,Byron_Don Juan_4,6,undirected
Byron_Don Juan_5,Byron_Don Juan_7,2,undirected
Byron_Don Juan_5,Byron_Don Juan_9,1,undirected
Byron_Don Juan_5,Byron_Mazzepa_Dante_Beppo_1,2,undirected
Byron_Don Juan_6,Byron_Don Juan_2,2,undirected
Byron_Don Juan_6,Byron_Don Juan_9,2,undirected
Byron_Don Juan_6,Byron_Don Juan_11,3,undirected
Byron_Don Juan_6,Byron_Don Juan_13,1,undirected
Byron_Don Juan_6,Byron_Don Juan_15,2,undirected
Byron_Don Juan_7,Byron_Don Juan_1,2,undirected
Byron_Don Juan_7,Byron_Don Juan_4,1,undirected
Byron_Don Juan_7,Byron_Don Juan_5,2,undirected
Byron_Don Juan_7,Byron_Don Juan_8,6,undirected
Byron_Don Juan_7,Byron_Don Juan_10,1,undirected
Byron_Don Juan_7,Byron_Don Juan_14,4,undirected
Byron_Don Juan_8,Byron_Don Juan_4,2,undirected
Byron_Don Juan_8,Byron_Don Juan_7,6,undirected
Byron_Don Juan_8,Byron_Don Juan_9,2,undirected
Byron_Don Juan_8,Byron_Don Juan_14,1,undirected
Byron_Don Juan_9,Byron_Don Juan_3,1,undirected
Byron_Don Juan_9,Byron_Don Juan_5,1,undirected
Byron_Don Juan_9,Byron_Don Juan_6,2,undirected
Byron_Don Juan_9,Byron_Don Juan_8,2,undirected
Byron_Don Juan_9,Byron_Don Juan_10,1,undirected
Byron_Don Juan_9,Byron_Don Juan_11,4,undirected
Byron_Don Juan_10,Byron_Don Juan_2,1,undirected
Byron_Don Juan_10,Byron_Don Juan_7,1,undirected
