Source,Target,Weight,Type
Anno_The Vamp_1,Lamb_Glenarvon 2_2,2,undirected
Anno_The Vamp_1,Lewis_The Monk_9,5,undirected
Anno_The Vamp_1,Lewis_The Monk_11,1,undirected
Anno_The Vamp_1,Lewis_The Monk_13,1,undirected
Anno_The Vamp_1,Lewis_The Monk_15,10,undirected
Anno_The Vamp_1,Lewis_The Monk_16,2,undirected
Anno_The Vamp_1,Radcliffe_A sicilian Romance_4,3,undirected
Anno_The Vamp_1,Radcliffe_the myteries of Udolpho 1_2,2,undirected
Anno_The Vamp_1,Woolstencraft_Frankenstein_2,24,undirected
Anno_The Vamp_1,Woolstencraft_Frankenstein_5,1,undirected
Anno_The Vamp_1,Woolstencraft_The last Man_1,9,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_2,60,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_3,21,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_4,21,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Mazzepa_Dante_Beppo_1,2,undirected
Byron_Childe Harold's Pilgrimage_1,Keats_Endymion_Lamia_1,1,undirected
Byron_Childe Harold's Pilgrimage_1,Polidori_The fallen Angel_1,11,undirected
Byron_Childe Harold's Pilgrimage_1,Woolstencraft_Prospertine und Midas_1,26,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_1,60,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_3,28,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_4,37,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Mazzepa_Dante_Beppo_1,21,undirected
Byron_Childe Harold's Pilgrimage_2,Polidori_The fallen Angel_1,17,undirected
Byron_Childe Harold's Pilgrimage_2,Woolstencraft_Prospertine und Midas_1,5,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_1,21,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_2,28,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_4,60,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Mazzepa_Dante_Beppo_1,12,undirected
Byron_Childe Harold's Pilgrimage_3,Polidori_The fallen Angel_1,5,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_1,21,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_2,37,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_3,60,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Mazzepa_Dante_Beppo_1,30,undirected
Byron_Childe Harold's Pilgrimage_4,Polidori_The fallen Angel_1,25,undirected
Byron_Childe Harold's Pilgrimage_4,Woolstencraft_Prospertine und Midas_1,8,undirected
Byron_Don Juan_1,Byron_Don Juan_2,44,undirected
Byron_Don Juan_1,Byron_Don Juan_7,4,undirected
Byron_Don Juan_1,Byron_Don Juan_11,1,undirected
Byron_Don Juan_1,Byron_Don Juan_12,10,undirected
Byron_Don Juan_1,Byron_Don Juan_14,27,undirected
Byron_Don Juan_1,Byron_Mazzepa_Dante_Beppo_2,12,undirected
Byron_Don Juan_2,Byron_Don Juan_1,44,undirected
Byron_Don Juan_2,Byron_Don Juan_6,11,undirected
Byron_Don Juan_2,Byron_Don Juan_10,15,undirected
Byron_Don Juan_2,Byron_Don Juan_11,3,undirected
Byron_Don Juan_2,Byron_Don Juan_12,1,undirected
Byron_Don Juan_3,Byron_Don Juan_4,8,undirected
Byron_Don Juan_3,Byron_Don Juan_5,28,undirected
Byron_Don Juan_3,Byron_Don Juan_6,2,undirected
Byron_Don Juan_3,Byron_Don Juan_8,3,undirected
Byron_Don Juan_3,Byron_Don Juan_9,19,undirected
Byron_Don Juan_4,Byron_Don Juan_3,8,undirected
Byron_Don Juan_4,Byron_Don Juan_5,56,undirected
Byron_Don Juan_4,Byron_Don Juan_6,8,undirected
Byron_Don Juan_4,Byron_Don Juan_7,14,undirected
Byron_Don Juan_4,Byron_Don Juan_8,5,undirected
Byron_Don Juan_4,Byron_Don Juan_10,1,undirected
Byron_Don Juan_4,Byron_Mazzepa_Dante_Beppo_2,2,undirected
Byron_Don Juan_5,Byron_Don Juan_3,28,undirected
Byron_Don Juan_5,Byron_Don Juan_4,56,undirected
Byron_Don Juan_5,Byron_Don Juan_6,12,undirected
Byron_Don Juan_5,Byron_Don Juan_7,10,undirected
Byron_Don Juan_5,Byron_Don Juan_8,10,undirected
Byron_Don Juan_5,Byron_Don Juan_9,2,undirected
