Source,Target,Weight,Type
Anno_The Vamp_1,Lamb_Glenarvon 2_2,30,undirected
Anno_The Vamp_1,Lewis_The Monk_9,20,undirected
Anno_The Vamp_1,Lewis_The Monk_11,10,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_2,60,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_3,20,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_4,6,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Don Juan_5,2,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Don Juan_11,8,undirected
Byron_Childe Harold's Pilgrimage_1,Polidori_The fallen Angel_1,11,undirected
Byron_Childe Harold's Pilgrimage_1,Woolstencraft_Prospertine und Midas_1,7,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_1,60,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_3,10,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_4,40,undirected
Byron_Childe Harold's Pilgrimage_2,Polidori_The fallen Angel_1,30,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_1,20,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_2,10,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_4,50,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Mazzepa_Dante_Beppo_1,30,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Mazzepa_Dante_Beppo_2,30,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_1,6,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_2,40,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_3,50,undirected
Byron_Childe Harold's Pilgrimage_4,Woolstencraft_The last Man_14,4,undirected
Byron_Don Juan_1,Byron_Don Juan_2,21,undirected
Byron_Don Juan_1,Byron_Don Juan_7,40,undirected
Byron_Don Juan_1,Byron_Don Juan_8,16,undirected
Byron_Don Juan_1,Byron_Don Juan_10,16,undirected
Byron_Don Juan_2,Byron_Don Juan_1,21,undirected
Byron_Don Juan_2,Byron_Don Juan_6,10,undirected
Byron_Don Juan_2,Byron_Don Juan_12,29,undirected
Byron_Don Juan_2,Byron_Mazzepa_Dante_Beppo_1,1,undirected
Byron_Don Juan_3,Byron_Don Juan_4,30,undirected
Byron_Don Juan_3,Byron_Don Juan_5,20,undirected
Byron_Don Juan_3,Byron_Don Juan_8,10,undirected
Byron_Don Juan_4,Byron_Don Juan_3,30,undirected
Byron_Don Juan_4,Byron_Don Juan_5,60,undirected
Byron_Don Juan_4,Byron_Don Juan_8,40,undirected
Byron_Don Juan_4,Byron_Don Juan_11,10,undirected
Byron_Don Juan_5,Byron_Childe Harold's Pilgrimage_1,2,undirected
Byron_Don Juan_5,Byron_Don Juan_3,20,undirected
Byron_Don Juan_5,Byron_Don Juan_4,60,undirected
Byron_Don Juan_5,Byron_Don Juan_7,2,undirected
Byron_Don Juan_5,Byron_Don Juan_8,20,undirected
Byron_Don Juan_5,Byron_Don Juan_9,8,undirected
Byron_Don Juan_5,Polidori_The fallen Angel_1,19,undirected
Byron_Don Juan_6,Byron_Don Juan_2,10,undirected
Byron_Don Juan_6,Byron_Don Juan_9,17,undirected
Byron_Don Juan_6,Byron_Don Juan_10,22,undirected
Byron_Don Juan_6,Byron_Don Juan_11,25,undirected
Byron_Don Juan_6,Byron_Don Juan_13,33,undirected
Byron_Don Juan_6,Byron_Don Juan_15,8,undirected
