Source,Target,Weight,Type
Anno_The Vamp_1,Lamb_Glenarvon 2_2,28,undirected
Anno_The Vamp_1,Lewis_The Monk_9,19,undirected
Anno_The Vamp_1,Lewis_The Monk_11,4,undirected
Anno_The Vamp_1,Radcliffe_A sicilian Romance_4,4,undirected
Anno_The Vamp_1,Radcliffe_the myteries of Udolpho 1_2,2,undirected
Anno_The Vamp_1,Woolstencraft_The last Man_2,3,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_2,60,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_3,20,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_4,20,undirected
Byron_Childe Harold's Pilgrimage_1,Polidori_The fallen Angel_1,20,undirected
Byron_Childe Harold's Pilgrimage_1,Woolstencraft_Prospertine und Midas_1,30,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_1,60,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_3,27,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_4,40,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Mazzepa_Dante_Beppo_1,7,undirected
Byron_Childe Harold's Pilgrimage_2,Polidori_The fallen Angel_1,30,undirected
Byron_Childe Harold's Pilgrimage_2,Woolstencraft_Prospertine und Midas_1,20,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_1,20,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_2,27,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_4,60,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Mazzepa_Dante_Beppo_1,42,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Mazzepa_Dante_Beppo_2,1,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_1,20,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_2,40,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_3,60,undirected
Byron_Childe Harold's Pilgrimage_4,Polidori_The fallen Angel_1,8,undirected
Byron_Don Juan_1,Byron_Don Juan_2,41,undirected
Byron_Don Juan_1,Byron_Don Juan_7,20,undirected
Byron_Don Juan_1,Byron_Don Juan_14,30,undirected
Byron_Don Juan_2,Byron_Don Juan_1,41,undirected
Byron_Don Juan_2,Byron_Don Juan_6,9,undirected
Byron_Don Juan_2,Byron_Don Juan_10,17,undirected
Byron_Don Juan_2,Byron_Don Juan_12,4,undirected
Byron_Don Juan_3,Byron_Don Juan_4,30,undirected
Byron_Don Juan_3,Byron_Don Juan_5,20,undirected
Byron_Don Juan_3,Byron_Don Juan_9,10,undirected
Byron_Don Juan_4,Byron_Don Juan_3,30,undirected
Byron_Don Juan_4,Byron_Don Juan_5,60,undirected
Byron_Don Juan_4,Byron_Don Juan_7,8,undirected
Byron_Don Juan_4,Byron_Don Juan_8,20,undirected
Byron_Don Juan_4,Byron_Mazzepa_Dante_Beppo_2,2,undirected
Byron_Don Juan_5,Byron_Don Juan_3,20,undirected
Byron_Don Juan_5,Byron_Don Juan_4,60,undirected
Byron_Don Juan_5,Byron_Don Juan_7,14,undirected
Byron_Don Juan_5,Byron_Don Juan_8,1,undirected
Byron_Don Juan_5,Byron_Don Juan_9,17,undirected
Byron_Don Juan_5,Byron_Mazzepa_Dante_Beppo_1,19,undirected
Byron_Don Juan_5,Byron_Mazzepa_Dante_Beppo_2,1,undirected
Byron_Don Juan_5,Polidori_The fallen Angel_1,1,undirected
Byron_Don Juan_6,Byron_Don Juan_2,9,undirected
Byron_Don Juan_6,Byron_Don Juan_7,1,undirected
Byron_Don Juan_6,Byron_Don Juan_8,3,undirected
Byron_Don Juan_6,Byron_Don Juan_9,28,undirected
Byron_Don Juan_6,Byron_Don Juan_10,2,undirected
Byron_Don Juan_6,Byron_Don Juan_11,13,undirected
Byron_Don Juan_6,Byron_Don Juan_13,31,undirected
Byron_Don Juan_6,Byron_Don Juan_15,5,undirected
Byron_Don Juan_7,Byron_Don Juan_1,20,undirected
Byron_Don Juan_7,Byron_Don Juan_4,8,undirected
Byron_Don Juan_7,Byron_Don Juan_5,14,undirected
